# SH0ES Cepheid data (Riess et al. 2022)
# Columns: galaxy, period[days], W_H[mag], W_H_err[mag], metallicity[dex]
galaxy	period	W_H	W_H_err	metallicity
N5643	30.6721	23.7307	0.4410	0.10828
N5643	40.0257	23.1174	0.4054	0.14153
N5643	24.6832	22.9887	0.5980	0.13424
N5643	32.7458	23.3120	0.4686	0.15643
N5643	65.7606	21.4354	0.2855	0.13378
N5643	32.0078	22.8134	0.5052	0.13207
N5643	59.8244	22.7263	0.3032	0.11031
N5643	33.1114	22.1430	0.3470	0.10199
N5643	18.1344	24.3763	0.6226	0.10273
N5643	29.6861	22.7067	0.5830	0.15494
N5643	24.2688	23.3071	0.5334	0.11804
N5643	29.5875	23.9611	0.5333	0.15613
N5643	25.1911	23.5769	0.5747	0.14882
N5643	28.5826	23.5921	0.6898	0.15358
N5643	40.0785	23.7612	0.3788	0.1296
N5643	37.1741	23.1150	0.4748	0.15646
N5643	17.4651	23.4304	0.6682	0.13325
N5728	38.2983	24.5618	0.6110	0.15029
N5728	48.1855	25.8841	0.6138	0.16321
N5728	41.3764	25.1185	0.5644	0.17207
N5728	36.9510	24.8217	0.7594	0.17419
N5728	29.5039	26.8901	0.5069	0.0955704
N5728	34.2801	25.4212	0.6524	0.15691
N5728	47.2345	25.5503	0.5599	0.14036
N5728	55.7218	25.0995	0.6233	0.14076
N5728	29.1582	25.6336	0.6643	0.0858304
N5728	63.0568	24.0271	0.5009	0.17096
N5728	57.3276	25.3152	0.7080	0.13346
N5728	34.9221	24.9836	0.7452	0.13014
N5728	33.7976	25.6008	0.5770	0.15646
N5728	42.4682	25.9000	0.6534	0.15995
N5728	49.0692	24.2041	0.3953	0.13795
N5728	44.3862	25.4959	0.5965	0.15858
N5728	61.4578	24.4024	0.5864	0.14448
N5728	49.9489	24.0765	0.6275	0.16644
N5728	49.4745	25.1117	0.5794	0.16902
N5728	38.4598	25.2328	0.5937	0.15689
N5861	49.5791	24.7427	0.5393	0.1018
N5861	42.1164	24.9977	0.6381	0.0769704
N5861	77.3861	23.7643	0.4152	0.0309304
N5861	39.0374	23.6136	0.5549	0.0401804
N5861	34.5919	24.8041	0.4182	0.10096
N5861	43.7175	24.5076	0.5838	0.11673
N5861	54.2313	23.2420	0.5507	0.12839
N5861	63.5596	24.1931	0.5027	0.11846
N5861	32.3369	24.2866	1.0118	0.13401
N5861	53.1670	23.7289	0.5102	0.0282604
N5861	30.6662	25.6279	0.4592	0.13355
N5861	34.7589	24.3880	0.5301	0.11228
N5861	59.7492	23.5192	0.5552	0.11338
N5861	34.1407	24.3428	0.4055	-0.0373796
N5861	28.5920	24.9818	0.5329	0.0710404
N5861	24.7429	25.6114	0.6501	0.0585704
N5861	22.5495	24.6865	0.5747	0.0897404
N5861	43.1718	23.8997	0.5218	0.0921304
N5861	46.4743	24.6664	0.5545	0.13356
N5861	60.0344	24.5050	0.5415	0.1317
N5861	28.5116	24.4949	0.5862	0.14618
N5861	64.7910	23.2492	0.3248	0.0235304
N5861	37.4781	23.7853	0.5188	0.00205042
N5861	42.7057	23.4491	0.5180	0.00079042
N5861	34.8583	24.9821	0.5514	-0.0594096
N5861	48.4273	23.2909	0.5155	0.0353004
N5861	37.2127	24.8686	0.6994	0.12111
N5861	23.4349	25.0451	0.5507	0.12251
N5861	44.8286	24.4263	0.2353	-0.0664396
N5861	39.3733	24.0268	0.3200	-0.0755496
N5861	26.6014	25.2165	0.6173	0.0947104
N5861	51.0888	22.9571	0.5511	0.0604104
N5861	40.7369	24.1006	0.5420	0.12816
N5861	40.1773	24.1215	0.5339	0.13503
N5861	48.8904	23.9665	0.4990	0.0310704
N5861	34.2232	24.3893	0.6178	-0.00096958
N5861	85.2166	23.8360	0.1973	-0.14805
N5861	40.4367	24.1253	0.5194	0.0241204
N5861	38.1211	24.3060	0.3442	-0.15333
N5861	84.2157	23.8650	0.4302	0.0603604
N5861	29.7329	25.4189	0.5300	0.0783604
N5917	28.2432	25.0553	0.5741	-0.33888
N5917	49.7423	25.6983	0.5143	-0.30342
N5917	39.7976	23.6944	0.4381	-0.29929
N5917	47.3158	24.1472	0.5515	-0.28976
N5917	33.5951	24.8353	0.2303	-0.30557
N5917	33.8584	24.6708	0.4456	-0.30565
N5917	25.9150	24.9978	0.6005	-0.29031
N5917	39.6396	24.1189	0.5663	-0.29364
N5917	27.0230	25.2736	0.3482	-0.29592
N5917	44.9011	23.9480	0.5234	-0.2941
N5917	50.7389	24.2689	0.5388	-0.2943
N5917	51.5219	23.5348	0.4277	-0.30083
N5917	27.0060	25.5088	0.5914	-0.30147
N5917	30.8525	25.2406	0.2276	-0.3352
N7250	20.2890	24.2537	0.2547	-0.33676
N7250	56.6334	24.1695	0.6680	-0.28657
N7250	81.8014	23.5370	0.2195	-0.28206
N7250	43.5484	23.4089	0.3909	-0.2774
N7250	24.9877	24.9708	0.6306	-0.26908
N7250	60.5840	23.2299	0.4376	-0.26654
N7250	61.3840	23.1990	0.5136	-0.27036
N7250	28.7829	23.4706	0.5506	-0.27
N7250	67.6745	22.6285	0.5342	-0.26664
N7250	70.5841	22.5639	0.5580	-0.26857
N7250	20.2621	25.2146	0.5554	-0.28325
N7250	20.8189	24.6084	0.4340	-0.28914
N7250	18.1822	25.6902	0.7195	-0.27508
N7250	38.0827	23.1940	0.4547	-0.28147
N7250	38.6465	24.0384	0.5279	-0.27786
N7250	19.1733	25.6598	0.4856	-0.2803
N7250	29.1076	23.9038	0.5499	-0.29355
N7250	23.4457	24.8447	0.5389	-0.27524
N7250	21.2652	24.9444	0.5009	-0.26376
N7250	19.1046	24.4396	0.6126	-0.28386
N7250	19.3905	25.8014	0.4562	-0.28922
N7329	38.8881	26.4120	0.5569	0.19815
N7329	41.9221	24.3045	0.6089	0.20021
N7329	51.6025	26.1931	0.7609	0.18278
N7329	49.4084	26.4835	0.5534	0.20297
N7329	48.3074	26.7289	0.5829	0.20008
N7329	45.2448	26.4788	0.3952	0.20282
N7329	52.8065	24.8160	0.6153	0.13749
N7329	40.5955	25.6920	0.5198	0.17492
N7329	53.0250	24.4319	0.4851	0.12792
N7329	76.2925	24.9641	0.4250	0.12916
N7329	64.5158	24.3757	0.5036	0.16327
N7329	44.8997	24.9547	0.5710	0.18314
N7329	92.9093	24.8154	0.2969	0.19046
N7329	56.6535	24.1491	0.7390	0.10178
N7329	65.0757	24.8770	0.4363	0.10732
N7329	86.7881	24.2191	0.2916	0.10348
N7329	62.4088	24.9385	0.6103	0.20237
N7329	66.7821	24.4545	0.3947	0.13476
N7329	55.7246	24.2934	0.5729	0.19389
N7329	46.3805	24.9391	0.7560	0.1897
N7329	45.9007	25.3669	0.5979	0.20207
N7329	41.0585	24.8216	0.5514	0.20293
N7329	48.9396	25.0724	0.5598	0.19571
N7329	65.5120	24.8410	0.5715	0.20146
N7329	50.9596	24.5848	0.4874	0.19868
N7329	38.3857	25.5363	0.6050	0.18786
N7329	46.2391	24.9168	0.5584	0.20135
N7329	59.1325	24.5989	0.5180	0.17318
N7329	57.7456	24.8000	0.3087	0.0617904
N7329	42.4919	24.7788	0.4914	0.0960304
N7329	54.8531	24.6610	0.4762	0.11079
N7541	47.3754	24.2608	0.5241	-0.16781
N7541	50.9314	24.9454	0.4990	-0.0167396
N7541	49.0335	24.1766	0.5513	-0.0129696
N7541	62.4279	23.6172	0.4844	-0.15683
N7541	53.3318	23.9757	0.6585	-0.14727
N7541	40.3794	24.2374	0.4154	-0.18863
N7541	32.7650	24.9055	0.6463	-0.00801958
N7541	64.5260	24.0107	0.6567	-0.0801496
N7541	62.1941	23.9351	0.3870	-0.17884
N7541	29.5351	24.2105	0.5532	-0.0987296
N7541	27.1625	25.5320	0.7451	-0.19968
N7541	38.8314	24.8153	0.5408	0.00345042
N7541	30.6689	24.2856	0.4965	-0.22602
N7541	46.0752	25.3989	0.5460	-0.16113
N7541	73.9333	23.0718	0.4547	-0.13863
N7541	40.6946	24.4051	0.5185	-0.17394
N7541	51.9612	24.7051	0.3846	-0.12082
N7541	58.6697	24.4552	0.4519	-0.0494996
N7541	28.7016	25.9228	0.5210	-0.17993
N7541	52.2496	24.4393	0.6414	0.0493004
N7541	101.3771	23.4897	0.6064	-0.11062
N7541	52.7124	24.1084	0.5281	-0.18841
N7541	38.4071	25.2522	0.4436	-0.20388
N7541	41.4884	25.0673	0.5532	-0.0824496
N7541	41.1059	24.9204	0.3147	-0.27514
N7541	50.8264	24.4369	0.5032	-0.17828
N7541	27.7264	24.9441	0.6041	-0.12157
N7541	70.7302	24.2645	0.4519	-0.0732296
N7541	70.5636	23.6516	0.6533	-0.1376
N7541	31.8205	25.4540	0.6665	0.0475904
N7541	43.9365	24.8302	0.5864	-0.0936996
N7541	52.6975	23.9007	0.4821	-0.22143
N7541	54.4864	24.1094	0.4527	-0.0434196
N7678	36.2895	25.3852	0.6887	0.0169804
N7678	45.6993	24.5203	0.6003	0.0540904
N7678	30.1453	25.9684	0.5514	-0.0145096
N7678	32.5364	25.8718	0.6187	0.0255904
N7678	33.1927	25.5397	0.6135	0.0267904
N7678	44.1337	24.9227	0.6158	0.0814804
N7678	43.9429	24.8770	0.5994	0.0509804
N7678	49.4850	25.3681	0.5915	0.0345304
N7678	35.0608	25.8548	0.6757	0.0611304
N7678	41.3018	24.8268	0.2689	-0.0969396
N7678	30.7355	25.6832	0.6383	0.0144004
N7678	33.2095	25.3041	0.5563	-0.0178996
N7678	40.8876	26.4919	0.5122	0.0113004
N7678	50.9183	25.3175	0.5559	0.0351804
N7678	85.4484	24.3339	0.3834	0.0308804
N7678	51.0606	25.9247	0.3704	0.0174104
N0976	29.9550	26.6019	0.4838	0.0175504
N0976	49.8531	25.3570	0.5774	0.0244104
N0976	37.8591	25.7737	0.5513	-0.0241296
N0976	34.3250	26.4951	0.9058	-0.00221958
N0976	51.1090	25.5766	1.0873	0.0421004
N0976	37.1601	26.9099	0.5455	0.0440204
N0976	36.5982	27.2317	0.5642	0.0399504
N0976	41.7815	25.3136	0.4953	0.0314704
N0976	39.6610	26.0497	0.5607	-0.0413696
N0976	37.7102	26.0046	0.5791	0.0325304
N0976	32.4155	25.5657	0.6348	-0.00231958
N0976	42.7929	26.5039	0.5769	0.0568204
N0976	39.0529	26.6679	0.5757	0.0711004
N0976	35.9436	25.7833	0.6030	0.0431204
N0976	36.6071	26.2797	0.5094	0.00101042
N0976	30.5929	25.6804	0.5706	-0.0330096
N0976	38.6260	25.6614	0.4983	-0.0795096
N0976	60.0609	25.5139	0.7642	0.0838604
N0976	41.9924	25.9692	0.5142	0.0254204
N0976	50.1665	25.9193	0.4521	0.0641104
N0976	41.2265	26.0377	0.5453	0.0590304
N0976	30.8659	25.5032	0.5631	0.0541104
N0976	51.8848	26.0058	0.5918	0.0594404
N0976	43.1587	25.7722	0.6301	0.0190004
N0976	51.0547	25.8735	0.4283	0.0217304
N0976	40.4043	26.1641	0.5316	0.0402504
N0976	31.1646	27.3136	0.5823	0.0169804
N0976	45.9810	25.7403	0.3720	-0.0124396
N0976	30.3020	24.9889	0.6152	0.00382042
N0976	50.8221	26.8028	0.7217	0.0682504
N0976	43.8733	25.2949	0.5627	0.0228204
N0976	29.7885	26.8486	0.5938	0.0305704
N0976	30.7712	25.8577	0.5826	0.0465004
U9391	31.6794	25.5328	0.2791	-0.22446
U9391	27.1196	25.8911	0.3492	-0.21527
U9391	26.3825	25.8839	0.4403	-0.23824
U9391	42.0051	25.1201	0.1447	-0.26948
U9391	38.6890	25.1807	0.6474	-0.19228
U9391	39.3507	25.3825	0.3719	-0.23982
U9391	70.1023	23.8600	0.3249	-0.18376
U9391	48.2220	23.9826	0.2434	-0.26721
U9391	25.4536	25.4185	0.4147	-0.20386
U9391	30.7227	25.8274	0.4095	-0.23769
U9391	36.4648	25.0790	0.3426	-0.24515
U9391	32.4116	25.1040	0.4516	-0.2532
U9391	27.2746	25.0154	0.4513	-0.19423
U9391	26.8841	25.4874	0.5629	-0.15788
U9391	27.6521	25.8112	0.5603	-0.24018
U9391	30.2807	25.3224	0.3970	-0.28472
U9391	28.3425	24.4279	0.5575	-0.18362
U9391	45.1940	25.5292	0.3045	-0.2074
U9391	42.6956	24.8855	0.3025	-0.1956
U9391	79.1285	24.2011	0.2541	-0.17316
U9391	37.3668	24.6237	0.5187	-0.2335
U9391	57.0556	24.3954	0.4330	-0.1594
U9391	69.6522	24.5652	0.3218	-0.19931
U9391	28.4756	25.7601	0.6479	-0.21441
U9391	56.1595	24.7618	0.3486	-0.17479
U9391	44.0357	25.3989	0.4454	-0.18597
U9391	32.5000	25.3445	0.4475	-0.2464
U9391	56.4058	24.7276	0.1948	-0.24667
U9391	30.4118	25.8015	0.4338	-0.21159
U9391	33.5004	25.4652	0.2370	-0.30402
U9391	44.2095	24.4798	0.2744	-0.21608
U9391	33.3702	25.1081	0.2280	-0.23989
U9391	27.0391	25.9270	0.3692	-0.25934
N4258	40.5584	-7.9906	0.4312	-0.0613496
N4258	26.5583	-6.9032	0.3962	-0.0331096
N4258	15.4779	-6.4165	0.6366	-0.0720096
N4258	11.9601	-5.8971	0.6163	-0.0744396
N4258	12.8558	-6.7497	0.5729	-0.0692396
N4258	12.4843	-6.0629	0.5151	-0.0375896
N4258	31.7715	-7.5069	0.3568	-0.0391596
N4258	11.9661	-6.3956	0.5941	-0.0456796
N4258	16.6122	-6.3272	0.5530	-0.0462396
N4258	48.6163	-8.5132	0.2316	-0.0736096
N4258	20.0600	-7.7857	0.5634	-0.0632496
N4258	11.5797	-6.2204	0.6026	-0.0496296
N4258	16.2128	-6.7736	0.4450	-0.0601696
N4258	14.5962	-6.6347	0.5606	-0.0889696
N4258	10.3266	-6.5922	0.5100	-0.0793996
N4258	6.2576	-5.1004	0.5589	-0.0515896
N4258	12.4694	-6.6699	0.5966	-0.0534696
N4258	5.5417	-5.9981	0.5727	-0.0685896
N4258	14.5423	-6.3623	0.5199	-0.0569296
N4258	7.1763	-5.3990	0.7747	-0.0624596
N4258	10.5872	-6.4023	0.5203	-0.0555996
N4258	8.4524	-5.4494	0.5656	-0.0663496
N4258	16.9147	-6.0958	0.5249	-0.0609796
N4258	17.4100	-6.3851	0.5296	-0.0554696
N4258	10.0420	-5.8822	0.5660	-0.0689196
N4258	20.6491	-6.7585	0.4049	-0.0748596
N4258	10.9177	-5.8237	0.5471	-0.0858696
N4258	35.8535	-7.4158	0.2206	-0.0817896
N4258	7.2951	-5.2040	0.6036	-0.0572996
N4258	31.3452	-7.2883	0.4084	-0.0648096
N4258	9.8912	-6.2035	0.6447	-0.0602096
N4258	9.4000	-5.6371	0.6138	-0.0641496
N4258	17.0086	-6.3596	0.6208	-0.0653796
N4258	8.2756	-6.2508	0.6168	-0.0730596
N4258	7.4978	-4.8833	0.6200	-0.0822996
N4258	28.2548	-7.0045	0.2878	-0.0736396
N4258	14.3076	-6.1807	0.4736	-0.0785396
N4258	7.2631	-4.4905	0.5979	-0.0606296
N4258	6.2816	-5.3072	0.6038	-0.0698496
N4258	7.2931	-5.2710	0.6218	-0.0634296
N4258	12.1928	-5.6598	0.6091	-0.0617296
N4258	10.2607	-5.7422	0.6700	-0.0615196
N4258	6.9776	-4.7088	0.6113	-0.0642696
N4258	24.4714	-6.8058	0.4897	-0.0615996
N4258	10.0290	-6.0265	0.6337	-0.0714296
N4258	22.6492	-7.3344	0.3336	-0.0636396
N4258	9.6666	-5.1916	0.6674	-0.0826096
N4258	7.0055	-4.6955	0.5841	-0.0629096
N4258	22.8389	-7.2638	0.2743	-0.0630696
N4258	6.2706	-4.7262	0.6642	-0.0660596
N4258	26.9068	-6.9215	0.3486	-0.0664896
N4258	15.6496	-6.3217	0.4368	-0.0806996
N4258	6.7309	-5.7484	0.5298	-0.0647496
N4258	11.1274	-6.0660	0.5581	-0.0674296
N4258	5.9092	-4.6270	0.6381	-0.0744896
N4258	6.8508	-4.7966	0.7458	-0.0836696
N4258	8.2936	-5.2467	0.5839	-0.0701696
N4258	7.0505	-5.9248	0.5958	-0.0922396
N4258	6.4244	-5.2805	0.6522	-0.0804096
N4258	6.9846	-5.3522	0.6500	-0.0840596
N4258	6.7409	-4.5549	0.5991	-0.0837696
N4258	5.3400	-5.0183	0.7378	-0.0918796
N4258	7.0595	-5.7372	0.5945	-0.0816296
N4258	7.3301	-4.9247	0.7080	-0.0730696
N4258	21.6646	-6.5136	0.2977	-0.0778196
N4258	14.5782	-6.4007	0.4618	-0.0807596
N4258	6.1059	-5.1069	0.6727	-0.0788496
N4258	8.0330	-5.9301	0.6804	-0.0739396
N4258	25.6996	-7.2734	0.2604	-0.0823996
N4258	9.0345	-6.4602	0.7762	-0.0772196
N4258	5.0784	-4.8450	0.6803	-0.0892596
N4258	18.1349	-6.9908	0.3098	-0.0820796
N4258	17.5847	-6.4908	0.3215	-0.0872396
N4258	6.6351	-5.1822	0.6021	-0.0772396
N4258	14.4374	-6.5646	0.5693	-0.0780696
N4258	5.1653	-5.2953	0.6515	-0.0802596
N4258	6.8637	-5.6331	0.7171	-0.0860896
N4258	11.5567	-5.9705	0.5259	-0.0828796
N4258	5.4549	-5.3928	0.7320	-0.11403
N4258	8.9956	-6.2617	0.3952	-0.12504
N4258	5.7065	-4.7552	0.5702	-0.11888
N4258	15.9681	-6.8279	0.2192	-0.1204
N4258	5.4529	-5.2867	0.5597	-0.12484
N4258	12.2407	-5.3834	0.3947	-0.0934596
N4258	6.0909	-4.4886	0.6359	-0.0836296
N4258	7.4099	-5.7154	0.5943	-0.0844696
N4258	8.5542	-5.4817	0.8018	-0.0808996
N4258	6.1199	-5.6502	0.6728	-0.0797096
N4258	5.1832	-4.6954	0.6194	-0.0835496
N4258	5.3610	-5.3391	0.5450	-0.0793796
N4258	7.1723	-5.4464	0.5153	-0.0778396
N4258	5.6406	-5.1119	0.6498	-0.0842296
N4258	5.0275	-3.8494	0.6704	-0.0798396
N4258	8.9836	-6.4195	0.6212	-0.0721996
N4258	11.5837	-6.4976	0.6428	-0.0720396
N4258	8.6181	-5.0593	0.6884	-0.0698996
N4258	5.1992	-5.6103	0.6412	-0.0689096
N4258	11.1274	-5.6974	0.5981	-0.0738796
N4258	6.9087	-5.0858	0.5612	-0.0717496
N4258	9.6945	-5.2247	0.4864	-0.0913396
N4258	6.1468	-5.1839	0.6052	-0.12455
N4258	5.9291	-5.3410	0.6923	-0.11407
N4258	8.1189	-4.1922	0.6915	-0.122
N4258	6.1808	-4.8547	0.5239	-0.1244
N4258	5.1573	-5.1058	0.7087	-0.0771996
N4258	11.9222	-6.0408	0.3386	-0.12245
N4258	7.4629	-5.9212	0.6536	-0.0712896
N4258	5.1593	-4.6432	0.7419	-0.0881896
N4258	5.9052	-5.3801	0.6983	-0.0655196
N4258	7.6655	-6.7411	0.7041	-0.0621996
N4258	7.9072	-5.8768	0.4745	-0.0724896
N4258	10.0180	-5.4592	0.4486	-0.12666
N4258	9.6765	-5.7114	0.4638	-0.10963
N4258	12.0111	-5.9459	0.5374	-0.10824
N4258	5.2701	-4.8995	0.5960	-0.12176
N4258	6.6321	-4.9092	0.5011	-0.13597
N4258	14.6232	-6.5848	0.2335	-0.13399
N4258	5.8622	-5.3288	0.7501	-0.14818
N4258	5.6226	-4.7870	0.6146	-0.14247
N4258	5.6865	-4.9468	0.4454	-0.17027
N4258	5.5088	-5.2205	0.4987	-0.16492
N4258	14.1858	-6.0580	0.2191	-0.1676
N4258	6.8288	-5.9993	0.6057	-0.14886
N4258	43.1665	-7.8424	0.1706	-0.0991896
N4258	6.9566	-4.8800	0.5833	-0.0780496
N4258	22.2138	-7.7019	0.2439	-0.10695
N4258	13.3640	-5.8320	0.6045	-0.0869696
N4258	21.5548	-6.7069	0.3313	-0.13821
N4258	8.7419	-5.3790	0.6301	-0.14512
N4258	16.9716	-7.0110	0.2740	-0.14125
N4258	5.9601	-4.8321	0.6867	-0.13277
N4258	23.3082	-7.0143	0.1871	-0.14875
N4258	20.1069	-7.3788	0.3256	-0.12472
N4258	9.0804	-6.6128	0.3847	-0.14869
N4258	13.6306	-6.1565	0.3028	-0.14997
N4258	8.2407	-5.3510	0.5230	-0.14594
N4258	7.1813	-6.0537	0.6691	-0.1168
N4258	12.4124	-6.8375	0.2477	-0.15509
N4258	5.5557	-5.5854	0.5610	-0.15127
N4258	5.2162	-5.3325	0.5149	-0.14885
N4258	5.5727	-4.6523	0.5881	-0.11928
N4258	11.2043	-5.8904	0.4039	-0.13529
N4258	14.3495	-6.4433	0.3327	-0.14195
N4258	20.2617	-6.8886	0.2122	-0.13939
N4258	15.4200	-6.4048	0.3766	-0.10979
N4258	5.3560	-4.6404	0.6244	-0.13033
N4258	6.8627	-5.2849	0.6216	-0.12471
N4258	5.7035	-5.0467	0.4624	-0.15939
N4258	15.2103	-6.8103	0.4408	-0.0857996
N4258	9.3141	-6.6915	0.3476	-0.16281
N4258	30.9497	-7.1527	0.2018	-0.0994496
N4258	38.4616	-8.0567	0.1982	-0.0653496
N4258	11.2762	-5.6261	0.5595	-0.0889096
N4258	18.1119	-6.7981	0.4723	-0.0876096
N4258	12.6761	-5.5852	0.3910	-0.0843596
N4258	23.8564	-6.6423	0.2356	-0.0929796
N4258	57.8396	-8.3787	0.1814	-0.0895596
N4258	10.2707	-6.5959	0.6157	-0.0827196
N4258	33.8874	-7.6625	0.2525	-0.0859896
N4258	6.6610	-6.0672	0.7180	-0.0860296
N4258	16.9577	-5.6401	0.4525	-0.0859296
N4258	14.7130	-7.1752	0.3863	-0.0879296
N4258	8.6161	-5.7209	0.7580	-0.0985496
N4258	31.5059	-7.4516	0.2094	-0.10086
N4258	14.8648	-6.7095	0.4906	-0.0879596
N4258	15.7505	-6.4632	0.4860	-0.0905696
N4258	27.0206	-6.7808	0.1913	-0.10146
N4258	11.9222	-6.4673	0.4596	-0.0831296
N4258	9.6276	-6.4266	0.5544	-0.0807496
N4258	6.7260	-5.9382	0.6808	-0.0942896
N4258	11.9451	-5.4000	0.6740	-0.0748496
N4258	11.3690	-5.5511	0.4698	-0.0815996
N4258	5.3520	-5.3556	0.5682	-0.16241
N4258	8.9177	-6.2278	0.3126	-0.16205
N4258	6.8058	-5.2775	0.3161	-0.18922
N4258	7.1283	-5.9399	0.4615	-0.18455
N4258	6.1199	-4.5468	0.3757	-0.17275
N4258	7.5737	-5.7919	0.4692	-0.17186
N4258	7.2502	-4.8319	0.5863	-0.16875
N4258	9.0405	-5.5749	0.3147	-0.16865
N4258	5.8163	-4.7705	0.7212	-0.13827
N4258	10.0580	-5.0201	0.3822	-0.13631
N4258	6.5312	-5.0716	0.5554	-0.1255
N4258	10.1538	-4.9049	0.4808	-0.10594
N4258	5.7674	-5.5864	0.5051	-0.14482
N4258	8.3016	-5.9236	0.6919	-0.14547
N4258	6.3435	-5.5622	0.3153	-0.16572
N4258	6.3944	-5.4123	0.3781	-0.1658
N4258	6.0040	-4.8443	0.5033	-0.15667
N4258	5.0794	-5.3348	0.6228	-0.14881
N4258	10.3705	-6.2566	0.4350	-0.11442
N4258	7.6056	-5.6521	0.4062	-0.14151
N4258	9.1663	-5.0856	0.5161	-0.14218
N4258	6.3984	-5.5944	0.3997	-0.14769
N4258	9.3840	-6.2458	0.3032	-0.15792
N4258	6.8647	-5.1487	0.4413	-0.12844
N4258	6.5582	-6.4849	0.4994	-0.11054
N4258	23.6976	-6.8604	0.2654	-0.0699396
N4258	6.8048	-5.4804	0.5812	-0.0644596
N4258	7.9022	-5.5273	0.5638	-0.0636296
N4258	6.0869	-4.6678	0.6050	-0.0576796
N4258	8.6061	-5.1566	0.6543	-0.0471696
N4258	25.5248	-7.1404	0.4123	-0.0585296
N4258	31.3631	-7.9472	0.3858	-0.0446796
N4258	13.6706	-6.9256	0.5509	-0.0447496
N4258	15.7205	-7.0641	0.5140	-0.0424996
N4258	16.7080	-6.2296	0.5736	-0.0416896
N4258	9.2552	-6.3149	0.6630	-0.0409596
N4258	11.7804	-5.4575	0.4508	-0.0414696
N4258	10.5792	-5.8982	0.5722	-0.0578496
N4258	9.7215	-4.9926	0.6443	-0.0426496
N4258	12.1309	-5.3012	0.6589	-0.0401596
N4258	7.7544	-4.9350	0.7218	-0.0405996
N4258	25.1564	-6.2772	0.4540	-0.0401496
N4258	24.7700	-7.0068	0.3805	-0.0806396
N4258	15.4010	-6.5813	0.5420	-0.0414696
N4258	11.9751	-5.5542	0.5406	-0.0292396
N4258	29.1545	-7.1169	0.2429	-0.0776696
N4258	9.1284	-5.5743	0.5801	-0.0392996
N4258	23.0915	-7.3185	0.5114	-0.0788896
N4258	22.5803	-6.9267	0.4732	-0.0801196
N4258	16.7869	-7.0660	0.5219	-0.0797896
N4258	14.3356	-5.8245	0.6412	-0.0365496
N4258	27.5548	-7.3356	0.5129	-0.0356996
N4258	21.4849	-7.1581	0.5835	-0.0585296
N4258	8.2387	-4.3663	0.5729	-0.0700996
N4258	60.1561	-7.8323	0.2060	-0.0754196
N4258	19.1893	-6.1723	0.3417	-0.0836996
N4258	10.7509	-5.3439	0.6420	-0.0829596
N4258	10.2107	-6.2536	0.5203	-0.0879696
N4258	40.4046	-8.3399	0.2106	-0.0802596
N4258	12.4105	-5.4292	0.5852	-0.0645496
N4258	18.9806	-7.3553	0.5523	-0.0506896
N4258	14.7510	-6.3161	0.5281	-0.0739196
N4258	43.3422	-7.7336	0.2791	-0.0724396
N4258	11.5068	-5.9512	0.6042	-0.0764996
N4258	19.9292	-6.5488	0.4686	-0.0734296
N4258	16.7839	-7.6576	0.4610	-0.0812596
N4258	18.7809	-6.5595	0.3493	-0.0712196
N4258	8.0510	-5.3383	0.6701	-0.0653896
N4258	14.2267	-6.7726	0.6657	-0.0486596
N4258	8.8368	-5.7806	0.5872	-0.0477396
N4258	7.7025	-5.9301	0.4882	-0.0511196
N4258	8.5652	-5.5988	0.6392	-0.0442096
N4258	11.3121	-5.4603	0.5389	-0.0547996
N4258	15.4898	-6.3704	0.5815	-0.0455496
N4258	13.9781	-6.7729	0.4803	-0.0411296
N4258	33.4699	-7.4925	0.3644	-0.0431596
N4258	25.6457	-7.4563	0.3631	-0.0394896
N4258	11.7085	-6.4600	0.6113	-0.0474196
N4258	8.6471	-5.8556	0.4967	-0.0418596
N4258	10.0799	-5.7478	0.6330	-0.0830696
N4258	12.1468	-6.4977	0.5595	-0.0882496
N4258	8.3925	-5.5974	0.5636	-0.0823296
N4258	14.9077	-6.5717	0.4152	-0.0893796
N4258	7.8832	-5.4370	0.5875	-0.0790296
N4258	13.3530	-6.6090	0.5201	-0.0546096
N4258	11.6256	-6.0363	0.5472	-0.0669996
N4258	7.9172	-5.1857	0.5625	-0.0566196
N4258	11.0565	-6.6222	0.5880	-0.0720796
N4258	11.3570	-7.1298	0.6278	-0.0416496
N4258	8.8827	-6.0764	0.5195	-0.0622796
N4258	10.0899	-5.1969	0.5705	-0.0767096
N4258	11.6815	-5.1857	0.6300	-0.0720296
N4258	8.9856	-6.1997	0.5378	-0.0659496
N4258	9.3550	-5.9272	0.2255	-0.15
N4258	13.8333	-6.3677	0.1856	-0.15094
N4258	7.4998	-5.7553	0.2801	-0.14887
N4258	6.4613	-4.9487	0.4192	-0.13348
N4258	60.6324	-8.5226	0.1631	-0.13516
N4258	7.4998	-4.9261	0.5316	-0.0590596
N4258	18.2817	-6.9830	0.4636	-0.0659596
N4258	10.6431	-6.1286	0.5807	-0.0663896
N4258	7.5607	-5.1111	0.4962	-0.0782996
N4258	12.5443	-6.5685	0.4414	-0.0840396
N4258	7.3151	-5.6942	0.6778	-0.0944896
N4258	7.6765	-5.0604	0.4795	-0.0706496
N4258	39.5209	-7.4818	0.3909	-0.0592396
N4258	43.6567	-7.8235	0.2157	-0.0873596
N4258	33.0765	-7.9158	0.5734	-0.0210896
